frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.flags,tcp.checksum,tcp.flags.ack,tcp.len,tcp.connection.syn,tcp.connection.fin,tcp.connection.synack,tcp.connection.rst,http.content_length,http.response.code,http.response.phrase
"275.500089281","10.1.1.21","10.1.1.1","49153","80","0x0010","0x0000","1","114",,,,,,,
"275.500152281","10.1.1.9","10.1.1.1","49153","80","0x0010","0x0000","1","114",,,,,,,
"275.600021281","10.1.1.1","10.1.1.19","80","49153","0x0010","0x0000","1","0",,,,,,,
"275.600021441","10.1.1.13","10.1.1.1","49153","80","0x0010","0x0000","1","116",,,,,,,
"275.600061281","10.1.1.2","10.1.1.1","49153","80","0x0010","0x0000","1","114",,,,,,,
"275.600061281","10.1.1.1","10.1.1.2","80","49153","0x0010","0x0000","1","0",,,,,,,
"275.600123281","10.1.1.9","10.1.1.1","49153","80","0x0010","0x0000","1","114",,,,,,,
"275.600123281","10.1.1.1","10.1.1.9","80","49153","0x0010","0x0000","1","0",,,,,,,
"275.600183521","10.1.1.18","10.1.1.1","49153","80","0x0010","0x0000","1","117",,,,,,,
"275.700021441","10.1.1.1","10.1.1.4","80","49153","0x0010","0x0000","1","0",,,,,,,
"275.700021681","10.1.1.20","10.1.1.1","49153","80","0x0010","0x0000","1","119",,,,,,,
"275.700049281","10.1.1.1","10.1.1.12","80","49153","0x0010","0x0000","1","0",,,,,,,
"275.700056281","10.1.1.5","10.1.1.1","49153","80","0x0010","0x0000","1","114",,,,,,,
"275.700089281","10.1.1.1","10.1.1.21","80","49153","0x0010","0x0000","1","0",,,,,,,
"275.700098281","10.1.1.10","10.1.1.1","49153","80","0x0010","0x0000","1","114",,,,,,,
"275.700236441","10.1.1.13","10.1.1.1","49153","80","0x0010","0x0000","1","116",,,,,,,
"275.700236441","10.1.1.1","10.1.1.13","80","49153","0x0010","0x0000","1","0",,,,,,,
"275.800021441","10.1.1.6","10.1.1.1","49153","80","0x0010","0x0000","1","116",,,,,,,
"275.800045441","10.1.1.12","10.1.1.1","49153","80","0x0010","0x0000","1","116",,,,,,,
"275.800070521","10.1.1.7","10.1.1.1","49153","80","0x0010","0x0000","1","117",,,,,,,
"275.800096681","10.1.1.17","10.1.1.1","49153","80","0x0010","0x0000","1","119",,,,,,,
"275.800183521","10.1.1.1","10.1.1.18","80","49153","0x0010","0x0000","1","0",,,,,,,
"275.900021521","10.1.1.11","10.1.1.1","49153","80","0x0010","0x0000","1","117",,,,,,,
"275.900021681","10.1.1.1","10.1.1.20","80","49153","0x0010","0x0000","1","0",,,,,,,
"275.900056281","10.1.1.1","10.1.1.5","80","49153","0x0010","0x0000","1","0",,,,,,,
"275.900062441","10.1.1.17","10.1.1.1","49153","80","0x0010","0x0000","1","116",,,,,,,
"275.900075841","10.1.1.1","10.1.1.17","80","49153","0x0010","0x0000","1","0",,,,,,,
"275.900098281","10.1.1.1","10.1.1.10","80","49153","0x0010","0x0000","1","0",,,,,,,
"275.900171281","10.1.1.8","10.1.1.1","49153","80","0x0010","0x0000","1","114",,,,,,,
"275.900314441","10.1.1.14","10.1.1.1","49153","80","0x0010","0x0000","1","116",,,,,,,
"276.000021281","10.1.1.11","10.1.1.1","49153","80","0x0010","0x0000","1","114",,,,,,,
"276.000021281","10.1.1.1","10.1.1.11","80","49153","0x0010","0x0000","1","0",,,,,,,
"276.000028841","10.1.1.1","10.1.1.6","80","49153","0x0010","0x0000","1","0",,,,,,,
"276.000045441","10.1.1.1","10.1.1.12","80","49153","0x0010","0x0000","1","0",,,,,,,
"276.000070521","10.1.1.1","10.1.1.7","80","49153","0x0010","0x0000","1","0",,,,,,,
"276.100021281","10.1.1.19","10.1.1.1","49153","80","0x0010","0x0000","1","114",,,,,,,
"276.100059441","10.1.1.9","10.1.1.1","49153","80","0x0010","0x0000","1","116",,,,,,,
"276.100081521","10.1.1.4","10.1.1.1","49153","80","0x0010","0x0000","1","117",,,,,,,
"276.100171281","10.1.1.1","10.1.1.8","80","49153","0x0010","0x0000","1","0",,,,,,,
"276.100314441","10.1.1.1","10.1.1.14","80","49153","0x0010","0x0000","1","0",,,,,,,
"276.200021281","10.1.1.15","10.1.1.1","49153","80","0x0010","0x0000","1","114",,,,,,,
"276.200054441","10.1.1.16","10.1.1.1","49153","80","0x0010","0x0000","1","116",,,,,,,
"276.200108441","10.1.1.3","10.1.1.1","49153","80","0x0010","0x0000","1","116",,,,,,,
"276.300021281","10.1.1.1","10.1.1.19","80","49153","0x0010","0x0000","1","0",,,,,,,
"276.300021281","10.1.1.18","10.1.1.1","49153","80","0x0010","0x0000","1","114",,,,,,,
"276.300056281","10.1.1.19","10.1.1.1","49153","80","0x0010","0x0000","1","114",,,,,,,
"276.300059441","10.1.1.1","10.1.1.9","80","49153","0x0010","0x0000","1","0",,,,,,,
"276.300081521","10.1.1.1","10.1.1.4","80","49153","0x0010","0x0000","1","0",,,,,,,
"276.300150681","10.1.1.11","10.1.1.1","49153","80","0x0010","0x0000","1","119",,,,,,,
"276.400021281","10.1.1.1","10.1.1.15","80","49153","0x0010","0x0000","1","0",,,,,,,
"276.400021521","10.1.1.21","10.1.1.1","49153","80","0x0010","0x0000","1","117",,,,,,,
"276.400043681","10.1.1.19","10.1.1.1","49153","80","0x0010","0x0000","1","119",,,,,,,
"276.400059841","10.1.1.1","10.1.1.19","80","49153","0x0010","0x0000","1","0",,,,,,,
"276.400080401","10.1.1.1","10.1.1.16","80","49153","0x0010","0x0000","1","0",,,,,,,
"276.400108441","10.1.1.1","10.1.1.3","80","49153","0x0010","0x0000","1","0",,,,,,,
"276.400159521","10.1.1.8","10.1.1.1","49153","80","0x0010","0x0000","1","117",,,,,,,
